mass_A
t	x	y
1,180000000E0	9,476384812E-1	4,858543414E-1
1,190000000E0	9,576971423E-1	4,841188560E-1
1,200000000E0	9,681197503E-1	4,819805291E-1
1,210000000E0	9,786847186E-1	4,797998050E-1
1,220000000E0	9,890942654E-1	4,780022281E-1
1,230000000E0	9,997052348E-1	4,760917925E-1
1,240000000E0	1,010821741E0	4,742382458E-1
1,250000000E0	1,021503110E0	4,722866402E-1
1,260000000E0	1,032206937E0	4,704767133E-1
1,270000000E0	1,042925263E0	4,688384828E-1
1,280000000E0	1,053816862E0	4,668623026E-1
1,290000000E0	1,064742807E0	4,649507434E-1
1,300000000E0	1,075688192E0	4,629732705E-1
1,310000000E0	1,086466118E0	4,613077576E-1
1,320000000E0	1,097943260E0	4,600599332E-1
1,330000000E0	1,108933934E0	4,570326592E-1
1,340000000E0	1,120157976E0	4,551705644E-1
1,350000000E0	1,131365021E0	4,531060891E-1
1,360000000E0	1,142901345E0	4,508255526E-1
1,370000000E0	1,154090172E0	4,488423989E-1
1,380000000E0	1,165875500E0	4,464967347E-1
1,390000000E0	1,177522262E0	4,442674081E-1
1,400000000E0	1,189452219E0	4,418671521E-1
1,410000000E0	1,201480594E0	4,397414094E-1
1,420000000E0	1,213483012E0	4,376042685E-1
1,430000000E0	1,225243548E0	4,354356010E-1
1,440000000E0	1,236942434E0	4,335339082E-1
1,450000000E0	1,249176500E0	4,310621240E-1
1,460000000E0	1,261246194E0	4,289584819E-1
1,470000000E0	1,273422408E0	4,264386997E-1
1,480000000E0	1,285576005E0	4,249493635E-1
1,490000000E0	1,298625553E0	4,222206734E-1
1,500000000E0	1,310711058E0	4,191654132E-1
1,510000000E0	1,323010963E0	4,167294874E-1
1,520000000E0	1,335324865E0	4,141675066E-1
1,530000000E0	1,347766697E0	4,118800739E-1
1,540000000E0	1,360935635E0	4,091670650E-1
1,550000000E0	1,374220654E0	4,066052789E-1
1,560000000E0	1,387035205E0	4,043782764E-1
1,570000000E0	1,399890835E0	4,023799848E-1
1,580000000E0	1,413115265E0	4,000438423E-1
1,590000000E0	1,426003067E0	3,980469211E-1
1,600000000E0	1,439175091E0	3,955425439E-1
1,610000000E0	1,452112112E0	3,935324088E-1
1,620000000E0	1,465590174E0	3,910483263E-1
1,630000000E0	1,478648035E0	3,892775534E-1
1,640000000E0	1,492797684E0	3,864766392E-1
1,650000000E0	1,505986805E0	3,833619772E-1
1,660000000E0	1,519537280E0	3,807577998E-1
1,670000000E0	1,532881091E0	3,781817050E-1
1,680000000E0	1,546927170E0	3,752696368E-1
1,690000000E0	1,561310273E0	3,724333651E-1
1,700000000E0	1,575620872E0	3,698320245E-1
1,710000000E0	1,589181898E0	3,675747660E-1
1,720000000E0	1,603140809E0	3,649313800E-1
1,730000000E0	1,616832621E0	3,626994303E-1
1,740000000E0	1,631223630E0	3,601120901E-1
1,750000000E0	1,645602034E0	3,574885249E-1
1,760000000E0	1,659405589E0	3,547493361E-1
